title,company,location,job_type,employment_type,description,requirements
Business Expert SAP Logistics and Supply Chain (f/m/x),ZEISS,Aalen (Baden-Württemberg),Feste Anstellung,Vollzeit,"Step out of your comfort zone, excel and redefine the limits of what is possible. That’s just what our employees are doing every single day – in order to set the pace through our innovations and enable outstanding achievements. After all, behind every successful company are many great fascinating people.In a spacious modern setting full of opportunities for further development, ZEISS employees work in a place where expert knowledge and team spirit reign supreme. All of this is supported by a special ownership structure and the long-term goal of the Carl Zeiss Foundation: to bring science and society into the future together.Join us today. Inspire people tomorrow.Diversity is a part of ZEISS. We look forward to receiving your application regardless of gender, nationality, ethnic and social origin, religion, philosophy of life, disability, age, sexual orientation or identity.Apply now! It takes less than 10 minutes.","Relevant professional experience driving business processes within Green/Brownfield transformation programsGood understanding of the end-to-end business processes for plan to produce & quality management combined with an experienced background in the analysis of business requirements along with business process modelingUnderstanding of ERP systems, specifically SAP S/4HANA, with an emphasis on SD/EWM/TMEstablished history of overseeing complex projects in major international firms and with various stakeholdersResults-focused and conceptual working style, with meticulous attention to detailExceptional English communication skills, both spoken and written; familiarity with German or other languages is a bonus"
IT Service Continuity Manager (m/f/d),IDS GmbH - Analysis and Reporting Services,München,Feste Anstellung,"Homeoffice möglich, Vollzeit","IDS GmbH - Analysis and Reporting Services (IDS) unlocks the value of data for the global investment industry: We validate, refine, and link data from a wide variety of sources and make it available for mission-critical processes along all investment strategies and products quickly, worldwide, and at any time. Fund management companies, insurance companies, banks and pension funds can use IDS to access a flexibly scalable data platform as well as all necessary analyses and reports in the desired format. As a 100% subsidiary of Allianz SE, IDS has stood for stability, reliability and certified security in the handling of its customers' data since 2001.IT Service Continuity Manager (m/f/d)Location80802 MünchenJob LevelProfessionalJob-ID72223","Required:Degree in IT, IT Security, Engineering, Computer Science, Mathematics, or related fields.5+ years in IT infrastructure operations, ITSM, IT risk, BCM/resilience, disaster recovery, or related areas.Proven experience in IT resilience strategies, crisis management, and major incident handling.Strong understanding of RTO, RPO, SLA/OLA mechanisms in global operations.Skilled in translating complex technical processes into business language and decision-making documents.Proficiency in ServiceNow ITSM platform and its integrations.Detail-oriented, proactive, and capable of multitasking under pressure.Excellent English communication skills: German is a plus.Preferred:Experience in finance, banking, or asset management sectors.Multicultural, international team experience and collaboration with external providers.Certifications: ITIL, CISSP, CBCP, or equivalent.Familiarity with ITSCM standards (ISO 22301, 27031, etc.) and regulatory frameworks (DORA, VAIT, etc.).Strong interpersonal skills, motivated, target-oriented, and adaptable to global priorities."
Internship - Python Software Engineering for Data Analysis in Machine Learning (Automotive Unit),SIMI Reality Motion Systems GmbH,Unterschleißheim,Praktikum,Vollzeit,"ZF LIFETEC is one of the world's leading suppliers of passive safety systems. As Simi Automotive, a global innovation leader for motion capture software and complete systems for recording and analyzing human movements and a subsidiary of ZF LIFETEC, we contribute our experience with camera-based systems to developing solutions for vehicle interior monitoring and occupant safety. We are working on adaptive restraint systems with our colleagues at ZF LIFETEC.",Currently enrolled at a university pursuing a Bachelor’s or Master’s degree in computer science or similarStudy program requires a mandatory internship of minimum 18 weeksPractical experience in PythonExperience with Python libraries such as NumPy and Matplotlib is a plusBasic understanding of SQL databasesAttention to detail as well as precise and structured working styleGood verbal and written communication skills in English
Observability and Event Management Architect (f/m/d),Uniper SE,Würzburg,Feste Anstellung,Vollzeit,"At Uniper, we proactively transform the world of energy while ensuring the security of energy supply. As an internationally operating company, we work in very diverse teams with the greatest possible working time flexibility for our employees. Our corporate culture is characterized by equal opportunities, mutual appreciation, and respect. With us, you will be able to develop new business models, work on technological solutions for a modern, sustainable, and future-oriented energy supply, as well as proactively help shape changes. Interested? We look forward to meeting you!","Bachelor/Master degree in Computer Science or related fieldMore than 5 years of experience in managing an ITIL/IT4IT process in a multi-vendor ecosystemProven experience in IT operations, observability, incident management, and event management.A strong understanding of modern IT Service Management deliveryStrong problem solving, quantitative and analytical abilitiesService oriented with good communication and presentation skillsStrong knowledge of monitoring tools and platforms (e.g., Dynatrace, Datadog, Splunk).Experience with AI-driven monitoring and automation tools.Excellent problem-solving skills and the ability to work under pressure.Strong communication and collaboration skills.Experience in managing supplier relationships and driving internal team performance.Familiarity with ITIL/IT4IT and modern service management practices.We are an international company with global reach. We expect fluent English, as this is our business language. German language skills an advantage."
Senior Data Scientist (d/f/m),Aignostics GmbH,Germany - Berlin,Feste Anstellung,"Homeoffice möglich, Vollzeit","We believe that AI has the potential to revolutionize how cancer and other complex diseases are diagnosed and treated. We also believe that AI is a tool, not an identity – without access to high quality data and a scientifically rigorous, transparent approach to model development, AI is just a buzzword. That’s where we come in.Aignostics is a spin-off from one of Europe's largest and most prestigious university hospitals (Charité), with employees in Berlin and New York. We have received over $50M in funding from leading investors and are a growing team of over 100 interdisciplinary professionals. We work with academic partners as well as leading global life sciences companies.","Ph.D or MSc. in a relevant field, e.g. Computer Science, Machine Learning or BioinformaticsEagerness to lead initiatives, learn new technologies and excel in a complex spaceSolid theoretical foundations and several years of experience developing novel machine learning techniquesAdvanced skills in Python, Linux, cloud computing and machine learning software stacksPassion for clean code and high standards for quality assuranceAbility to independently define, organize and complete research projectsExcellent communication and team working skillsBonus points forExperience with development of deep learning models for computer visionExposure to biomedical dataLeadership experience in a research context"
IMOGate | Data Analyst Job Offer,ImoGate GmbH,"Munich, Germany",Feste Anstellung,Vollzeit,"We are a young FinTech-Company with offices in Munich and Paris. We combine professional excellence and professionalism with Start-Up spirit. We offer our international customers in the financial industry customized IT-solutions for the management of their loans, real estate and investments. Our applications and services facilitate all decisions taken on large portfolio investments across different regions and asset classes.","Degree in Computer Science, Information Systems or equivalent1 to 2 years experience designing and developing ETL processes with MS Stack (SSIS, SQL Server, Visual Studio).1 to 2 years experience working with simple to complex SQL queries.Knowledge and good understanding of DWH and Relational Database concepts.Knowledge of reporting tools such as Tableau or Microsoft Power BI.Experience with MS Azure (Azure Data Factory and Logic Apps) is a plusOur working language is English, we expect English knowledge at work levelAnother European language is a plusCreativity and entrepreneurial spiritExperience with working in agile modeStructured and conscientious working style, good project and time managementStrong social skills and excellent communication skills, especially experience in working with customers at senior levelEnjoying occasional business tripsInterest in the real estate and financial industry"
Software Ingenieur HMI / SCADA (m/w/d),OPTIMA pharma GmbH,Schwäbisch Hall,Feste Anstellung,Vollzeit,"Seit über 100 Jahren sind wir als familiengeführtes Unternehmen der Technologieführer im Dosieren, Füllen und Verpacken anspruchsvoller Produkte – von flüssig bis fest. Rund 3.150 Mitarbeiterinnen und Mitarbeiter an über 20 Standorten weltweit entwickeln wegweisende Lösungen, Systeme und Technologien für unsere vier Geschäftsbereiche: Consumer, Life Science, Nonwovens und Pharma.Gemeinsam tun wir alles dafür, dass unser Team auch in Zukunft Optima, das Beste ist #wecareforpeopleAls Software Ingenieur HMI / SCADA (m/w/d) sind Sie Teil von Optima Pharma. Dabei wirken Sie bei der Entwicklung und Fertigung intelligenter Turnkey-Abfülllösungen inklusive Isolator und Gefriertrockner für die Pharma- und Biotech-Industrie mit. Zukunftsorientiert, nachhaltig und flexibel.","Sie haben ein abgeschlossenes Studium oder eine Weiterbildung zum Techniker in den Bereichen Elektrotechnik, Automatisierungstechnik oder der technischen Informatik.Sie besitzen umfangreiche Erfahrungen in der Programmierung von HMI / SCADA – Systemen, entweder mit Aveva InTouch, Rockwell FactoryTalk, Copa-Data Zenon oder WinCC. Begriffe wie Usability und User Experience sind Ihnen bekannt.Kenntnisse in der Webentwicklung sind von Vorteil.Sie haben Erfahrung mit Microsoft SQL Server Datenbanksystemen.In der Konfiguration und Administration von Windows Betriebssystemen (Workstation und Server) sowie in der Netzwerktechnik kennen Sie sich aus.Sie haben eine hohe Affinität zum Themengebiet der Digitalisierung.Sie besitzen ein hohes Maß an Eigeninitiative und arbeiten gerne im Team.Eine gelegentliche Reisebereitschaft rundet Ihr Profil ab."
Senior Data Engineer (m/f/d),adsquare GmbH,Berlin,Feste Anstellung,Vollzeit,"At Adsquare, our mission is driven by our core focus:Passion– Solving complex challenges with great people, tech, and data.Niche– Location Intelligence for Programmatic Advertisers.Our core values are integral to everything we do:Drive:We turn ambition into action.Resilience:We adapt, persevere, and grow stronger.No BS:We value honesty, transparency, and clear communication.Humble:We choose modesty over vanity and let results speak for themselves.Moral Compass:We do the right thing with fairness, integrity, and respect.We seek candidates who not only bring top-tier technical expertise but also embody these values in every aspect of their work.","Your ProfileExperience & Technical Expertise:Experience:4 to 6 years as Backend Developer and/or Data Engineer or similar relevant experience.Technical Skills:Necessary requirements:Advanced knowledge of the programming languagesPython, Scala, JavaandSQLunderstandfunctional programming principlesto create reliable and maintainable data applicationsWork with large-scale data processing frameworks such asApache SparkExpertise infile formatslike parquet, hdfs, icebergDesign and operate bothrelational (SQL)andnon-relational (NoSQL)databases, applying the right technology in the right contextExperience handlinglarge datasets(from 100s of GBs to many TB) including tabular, geo-spatial, and behavioral data.Familiarity withbig data technologiesand data warehouses in aws like Athena, EMR, Glue, Redshift, s3, data lakeSolid foundation in computer scienceprinciplesincluding data structures, algorithms and design patternNice to have:experience inKafkaandFlinkExperience withorchestrationtools like Airflow and Step FunctionsExperience with deploying infrastructure viaTerraformandKubernetesDegree or PhD in computer science or similar subject like Mathematics, Physics or EngineeringSoft Skills & Personal Attributes:Communication:Excellent written and verbal communication skills with an ability to simplify complex technical information.Teamwork & Leadership:Experience guiding and mentoring junior team members in a collaborative environment.Problem-Solving:A proactive approach to troubleshooting, backed by thorough research and data-driven decision-making.Adaptability:the interest and willingness to keep up to date in the field of data engineering and actively adopt new technologiesMethodologies:Familiarity withagilemethodologies, software design principles (including 12-factor app), and a commitment to best practices in software engineering."
(Junior) Cloud-Native Developer (f/m/d) SAP BTP Foundation Unified Services & Commercialization,SAP SE,"Berlin, DE, 10557",Feste Anstellung,Vollzeit,"We help the world run betterAt SAP, we enable you to bring out your best. Our company culture is focused on collaboration and a shared passion to help the world run better. How? We focus every day on building the foundation for tomorrow and creating a workplace that embraces differences, values flexibility, and is aligned to our purpose-driven and future-focused work.We are looking for a great people-person to join our team, as one of our strong, committed, self-motivated, reliable, and analytically skilled team players, together owning and shaping the future of the SAP Business Technology Platform commercial services.You will work as a part of a highly motivated team located in Israel. We apply agile development practices like pair programming, test-driven development, and continuous integration and delivery. That also means getting familiar with the newest technologies and open-source projects.The BTP Commercial and Unified Services are one of the critical foundational layers of the SAP Business Technology Platform (BTP), serving as the backbone that enables effective management and orchestration of core platform components and integration with various SAP IT systems. These foundational services provide a framework that supports the definition and management of platform content artifacts, including services, applications, and commercial entities such as accounts and data centers. Furthermore, these backbone services facilitate resources and tools for BTP service owners and cloud operators, streamlining internal platform management. They also empower external stakeholders such as customer admins, developers, and controllers to effectively utilize and interact with the platform.SAP innovations help more than four hundred thousand customers worldwide work together more efficiently and use business insight more effectively. Originally known for leadership in enterprise resource planning (ERP) software, SAP has evolved to become a market leader in end-to-end business application software and related services for database, analytics, intelligent technologies, and experience management. As a cloud company with two hundred million users and more than one hundred thousand employees worldwide, we are purpose-driven and future-focused, with a highly collaborative team ethic and commitment to personal development. Whether connecting global industries, people, or platforms, we help ensure every challenge gets the solution it deserves.","University Degree in Computer Science or Software engineering and 3+ years of proven development experience (programming languages and frameworks: Go, Java, Spring).Experience with SQL databases; familiarity with database-related optimizations and data processing is beneficial.Knowledge and experience in Cloud Native paradigms and container technologies (Docker, K8S) as well as with cloud platforms such as AWS (or MS Azure, GCP).Automation savvy – Familiarity with testing tools and strategies, experience using JUnit, Mockito, Jenkins, Selenium.Experience with debugging and monitoring distributed systems with tools such as Elastic Stack, Prometheus, Grafana, Dynatrace.Curiosity and ability to quickly understand and learn new technologies, concepts, and tools. Results-driven with excellent execution skills. Self-managed.Fluent English both in written and verbal form."
Senior Business Expert SAP S/4HANA Plan to Produce and Quality Management EMEA Hub (f/m/x),ZEISS,"Aalen (Baden-Württemberg), Oberkochen",Feste Anstellung,Vollzeit,"Step out of your comfort zone, excel and redefine the limits of what is possible. That’s just what our employees are doing every single day – in order to set the pace through our innovations and enable outstanding achievements. After all, behind every successful company are many great fascinating people.In a spacious modern setting full of opportunities for further development, ZEISS employees work in a place where expert knowledge and team spirit reign supreme. All of this is supported by a special ownership structure and the long-term goal of the Carl Zeiss Foundation: to bring science and society into the future together.Join us today. Inspire people tomorrow.Diversity is a part of ZEISS. We look forward to receiving your application regardless of gender, nationality, ethnic and social origin, religion, philosophy of life, disability, age, sexual orientation or identity.Apply now! It takes less than 10 minutes.","Extensive professional experience driving business processes within Green/Brownfield transformation programsGood understanding of the end-to-end business processes for plan to produce & quality managementUnderstanding of ERP systems, specifically SAP S/4HANA, with an emphasis on PP and QM.Background in the analysis of business requirements along with business process modelingEstablished history of overseeing complex projects in major international firms and with various stakeholders.Results-focused and conceptual working style, with meticulous attention to detail.Excellent communication skillsExceptional English communication skills, both spoken and written; familiarity with German or other languages is a bonus."
