title,company,location,job_type,employment_type,description,requirements
Supply Chain Consultant (w/m/d),SEW-EURODRIVE GmbH & Co KG,Bruchsal bei Karlsruhe,Feste Anstellung,"Homeoffice möglich, Vollzeit","Als Global Player sorgen wir bei SEW-EURODRIVE für Bewegung mit wegweisenden Technologien und maßgeschneiderten Lösungen in der Antriebs- und Automatisierungstechnik. Das verdanken wir weltweit und branchenübergreifend mehr als 22.000 Mitarbeitenden in über 57 Ländern.Bei SEW-EURODRIVE erwarten Sie viele Perspektiven in einer technologisch spannenden Wachstumsbranche. Als international tätiges Familienunternehmen denken wir langfristig, agieren nachhaltig und wachsen kontinuierlich. Werden Sie Teil unserer Erfolgsgeschichte und bewegen Sie zusammen mit uns die Welt.","Abgeschlossenes Studium in Wirtschaftsingenieurwesen, BWL, Informatik oder vergleichbarBerufserfahrung im Supply Chain Management und/oder Data Analytics, idealerweise in einem internationalen UmfeldFundierte Kenntnisse in Datenanalyse, -modellierung sowie deren ImplementierungErfahrung mit SQL, Python sowie Tools wie SAP Datasphere, Qlik und SAC (von Vorteil)Sehr gute Englischkenntnisse"
DevOps Operation Engineer (w/m/d),"GMX, WEB.DE & mail.com",Karlsruhe,Feste Anstellung,Vollzeit,"Über unsMit unseren starken Marken GMX, WEB.DE und mail.com sind wir mit über 42 Mio. aktiven Nutzer*innen die führende E-Mail- und Kommunikationsplattform im DACH-Raum. Aus dieser starken Marktposition heraus entwickeln wir Services und Apps, die das digitale Leben vereinfachen - von Office-Tools und Cloud-Speicher bis hin zum persönlichen ID-Management.Deine AufgabenWEB.DE und GMX gehören in Deutschland zu den führenden E-Mail Anbietern. Unsere Abteilung Big Data & Artificial Intelligence trägt dazu bei, bestehende Geschäftsfelder zu optimieren und neue Geschäftsvorhaben zu erschließen. Als DevOps Operation Engineer - Big Data (w/m/d) bist Du für den reibungslosen, fachlichen und technischen Betrieb unserer Big Data Applikationen verantwortlich.Du bist erste*r Ansprechpartner*in für die Integration und Operationalisierung neuer Big Data Anwendungen in die bestehende Systemlandschaft.Du arbeitest eng mit Deinen Kolleg*innen in einem interdisziplinären Team zusammen und gestaltest den Betrieb der Datenprodukte/-services.Du berätst unsere Fachabteilungen in Fragen rund um den Softwarelebenszyklus.Du begleitest das Team bei der Überführung der Software in den Live-Betrieb und verantwortest das Konfigurations-, Incident- und Problem- Management.Du hast Spaß daran, neue komplexe Technologien zu evaluieren und ins Liveumfeld zu überführen.Dein ProfilDu bringst ein technisches Studium wie z. B. Informatik oder eine vergleichbare Ausbildung mit? Du hast Interesse, Teil unserer Big Data & Artificial Intelligence Abteilung zu werden und die Verantwortung für den Betrieb für Big Data Anwendungen zu übernehmen? Du arbeitest Dich gerne in komplexe Systemlandschaften ein? Deine Arbeitseinstellung ist „Hands-on“? Du siehst Dich in den unten genannten Punkten beschrieben? Dann freuen wir uns auf Deine Bewerbung.Du hast Erfahrung im Bereich IT Operations (Monitoring & Alerting) sowie mit Applikationen, die auf Linux basieren und idealerweise Big Data-Kenntnisse (wie z.B. Hadoop, Kafka, Hive, Cassandra oder Kubernetes).Du verfügst über fundierte Scripting (wie z. B. bash, Python ...) und idealerweise SQL-Kenntnisse.Du bist ein Organisationstalent, behältst bei Störungen den Überblick, kommunizierst klar und leitest souverän entsprechende Entstörungsmaßnahmen ein.Du bist ein Teamplayer, hast Spaß an neuen herausfordernden Themen und möchtest Deine Stärken in ein hochmotiviertes Team einbringen.Unsere BenefitsUnsere Unternehmenskultur: Per ""Du"" und kein Dresscode, flache Hierarchien, offene und transparente KommunikationIndividuelle Weiterentwicklungsmöglichkeiten: vielfältige Trainings, E-Learnings und interne Communities, Sprachkurse, MentoringEvents: Slack Days, Open-Source-Projekte, Meet-upsRelocation Service: Unterstützung bei der Abwicklung des Umzugs nach DeutschlandVorteile und Zusatzleistungen: betriebliche Altersvorsorge, vermögenswirksame Leistungen, Rabatte auf eigene Produkte, Jobticket, JobRad, Corporate Benefits PortalAttraktive Arbeitsbedingungen: 30 Tage Urlaub, hybrides Arbeiten, Vollzeit- und Teilzeitregelung, freie Wahl zwischen Linux, Mac oder WindowsSoziales: Teamevents, Sommer- und Winterfeiern, Familien- und Pflegeservice, Sport- und Fitnessangebote, bezuschusste Kantine, kostenloses Obst und Getränke, GesundheitskurseThemen, die uns auch wichtig sind: Nachhaltigkeit, Diversity und unsere Werte und Leadership Principles - mehr dazu auf unserer Website mail-and-media.com",
DevOps & Site Reliability Engineer (w/m/d) Flugsicherungssysteme,DFS Deutsche Flugsicherung GmbH,München,Feste Anstellung,"Homeoffice möglich, Vollzeit","Das ist unsere bekannteste Aufgabe: Die sichere und punktgenaue Organisation des Flugverkehrs in Deutschland. Erfahrene, exzellent ausgebildete Fluglotsinnen und -lotsen sind dafür verantwortlich. Als Arbeitgeber sind wir jedoch noch breiter aufgestellt – das unterstreicht schon die Zahl von über 5.600 Mitarbeitenden. In unserer Zentrale, den Nieder­lassungen und an den Tower-Standorten bieten wir Einsteigenden und Profis aus vielen Bereichen attraktive Berufs­perspektiven. Mit Menschen, die ihren Job lieben, und in einem Umfeld, das gefühlt familiären Charakter hat. Startbereit?Die Sicherheit im deutschen Luftverkehr hängt maßgeblich von einwandfrei funktionierender Technik ab. Deshalb haben die Verlässlichkeit und die beständige Verfügbarkeit unserer Systeme, Kommunikationseinrichtungen und Übertragungswege höchste Priorität.Geben Sie Ihrer Zukunft die passende Flughöhe. Mit viel Gestaltungs­spielraum in einem Unternehmen, das als Flug­sicherung Maßstäbe setzen will: persönlich, technisch, nachhaltig.Center- und Tower-Niederlassung München – mit rund 560 Mitarbeitenden ein echtes DFS Kompetenz-Zentrum, direkt ins Flughafengelände integriert und eingebettet in eine angenehme „New-Work“-Arbeitslandschaft, am zweitgrößten Verkehrs-Flughafen Deutschlands.Wir freuen uns auf Ihre Bewerbung.Begeistern Sie unser Team in Vollzeit in unserer Center- und Tower-Niederlassung München alsDevOps & Site Reliability Engineer* Flugsicherungssysteme","Abgeschlossenes Informatikstudium (oder ein vergleichbares)Expertenwissen in der Administration von Linux- oder Windows-BetriebssystemenSicher im Umgang mit gängigen Automatisierungswerkzeugen (z. B. Ansible)Erfahrung im Betrieb einer Data-Center-Plattform oder einzelnen Cloud Services (z. B. Proxy, DNS, VPN, IAM, Monitoring, Microsoft Services, Backup Tools)Know-how in einer gängigen Programmiersprache (z. B. Python) und dem Aufbau von CI/CD-PipelinesErfahrung in Container-, Orchestrierungs- und Cloudlösungen (z. B. Kubernetes)Bereitschaft für Herausforderungen und Übernahme von Verantwortung für kritische InfrastrukturVerhandlungssicheres Deutsch und gute EnglischkenntnisseMedizinische Tauglichkeit, Bereitschaft zur Rufbereitschaft bzw. Wechselschichtdienst und Besitz eines Führerscheins Klasse BErweiterte Sicherheitsüberprüfung nach dem Sicherheitsüberprüfungsgesetz (SÜG) erforderlich"
Praktikum im Bereich Fertigung/ Lean Management,Bosch Rexroth,Horb am Neckar,Praktikum,"Homeoffice möglich, Vollzeit","Wirtschaftlich, präzise, sicher und energieeffizient: Antriebs- und Steuerungstechnik von Bosch Rexroth bewegt Maschinen und Anlagen jeder Größenordnung. Unter der Marke Rexroth entstehen innovative Komponenten, maßgeschneiderte Systemlösungen und Dienstleistungen für mobile Anwendungen, Anlagenbau und Engineering sowie Fabrikautomation.DieBosch Rexroth AGfreut sich auf Ihre Bewerbung!Anstellungsart: BefristetArbeitszeit: VollzeitArbeitsort: Horb am Neckar","Ausbildung:Studium im Bereich Maschinenbau, Wirtschaftsingenieurwesen, Wirtschaftsinformatik oder vergleichbarQualifikation:Erfahrungen mit Lean Management Methoden und sicherer im Umgang mit MS-Office. Erfahrungen mit Data Analytics (z.B. VBA, PowerBi) sind wünschenswertArbeitsweise:Strukturierte, analytische Vorgehensweise sowie eine schnelle AuffassungsgabePersönlichkeit:Flexibilität, Teamfähigkeit und Zuverlässigkeit runden Ihr Profil abStart:ab August/ September 2025 oder nach VereinbarungDauer:4 - 6 Monate"
Marketing Analytics & Operations Specialist (m/f/d),Statista GmbH,"Hamburg, Berlin",Feste Anstellung,"Homeoffice möglich, Vollzeit","AtStatista, we’re all about facts and data, for we are the world's leading business data platform. By providing reliable and easy-to-use data as well as various data analytics products and services, we empower people worldwide to make fact-based decisions.Founded in Hamburg in 2007, we have quickly grown into a global company with offices in major cities such as London, New York, Berlin and Tokyo. And we still have a lot of plans. Our constant growth does not only prove our success, but also keeps creating new development and career opportunities for our employees.We value and celebrate our diverse culture. You are welcome here for who you are, no matter where you come from, what you look like, or whether you prefer bar graphs to pie charts. Your story matters – keep writing it as part of our team.Are you ready to join us?Your TeamThe Global Revenue Division generates and maximizes Statista's revenue. Our teams from Sales, Client Success, Marketing, and Operations collaborate to bring Statista to the people: We create awareness and interest for Statista with marketing campaigns, webinars, and other means. We showcase Statista to new customers and help them find the right product for their specific needs, while ensuring our clients are happy and stay with us for a long time.","4+ years of experience in marketing analytics, preferably in a B2B SaaS or media/data organization.Proven experience implementing and launching marketing analytics technologies and managing their performance and adoption with strong understanding of MarTech landscape and some tech stack management.Strong implementation and usability knowledge of Digital Analytics platforms (Amplitude, Mixpanel).Proficiency in SQL and marketing data platforms (Google Analytics 4, BigQuery).Hands-on experience managing cookie consent platforms (preferably OneTrust) and a thorough knowledge of privacy regulations (e.g., GDPR, CCPA).Experience working with CDPs , CRM, data visualization tools and automation platforms.Expertise in marketing attribution, cohort analysis/creating, and conversion funnel analytics.Strong business acumen with the ability to translate data insights to into marketing strategies with excellent communication and stakeholder management skills."
SAP SuccessFactors Solution Architect (f/m/d),TÜV SÜD,München,Feste Anstellung,Vollzeit,"At TÜV SÜD we are passionate about technology. Innovations impact our daily lives in countless ways, and we are dedicated to being a part of that progress. We test, we audit, we inspect, we advise. We never stop challenging ourselves for the safety of society and its people. We breathe technology, we strive for professional excellence, and we leave a mark. We take the future into our hands. We are TÜV SÜD.If you want to shape the future with us, we look forward to receiving your application for our location Munich.","Bachelor’s degree in IT or related field.Deep expertise in SAP SuccessFactors architectureDeep understanding of integration technologies (e.g., SAP Integration Suite)Familiarity with identity management, SSO (IAS/IPS), and data privacy (GDPR).Proven experience in large-scale HRIS implementations and transformations.Structured, analytical thinking and stakeholder communication skillsFluent in English (German is an advantage)."
EDI Developer (all genders),SupplyX c/o Otto Group Logistics GmbH,Hamburg,Feste Anstellung,"Homeoffice möglich, Vollzeit","Gestalte die Zukunft der Datenintegration: Mit Lobster_Data, unserem Low-Code-Tool, sorgst du für die reibungslose und sichere Verknüpfung verschiedenster logistischer Datenquellen. In dieser Rolle entwickelst und koordinierst du interne sowie externe EDI Schnittstellen und Mappings.Teamwork & Innovation: In agilen Teams entwickelst du technische Lösungen und integrierst neue Systeme, um die Logistikprozesse zu verbessern.Effizienz & Standardisierung: Du trägst dazu bei, bestehende Prozesse zu standardisieren und deren Robustheit kontinuierlich zu verbessern.Freiraum für eigene Ideen: In unserem agilen Umfeld mit hoher Eigenverantwortung hast du die Möglichkeit, eigene Ideen einzubringen und aktiv mitzugestalten.","Abgeschlossenes Studium in Informatik oder eine vergleichbare Qualifikation.Berufserfahrung im Bereich der Datenintegration, idealerweise in einem internationalen und logistischen Kontext.Fundierte Kenntnisse im EDI-Umfeld, Mapping-Design sowie gängige EDI-Standards (EDIFACT, XML, JSON, SAP Idoc) und Kommunikationsprotokollen (AS2, SFTP).Gute Kenntnisse in der Nutzung und Implementierung von Lobster_Data oder vergleichbaren Low-Code-Tools.Vorteilhaft: Kenntnisse in Programmiersprachen wie Python sowie in SQL- und NoSQL-Datenbanklösungen in der Google Cloud Platform (GCP).Analytische Denkweise sowie eine lösungsorientierte und teamfähige Persönlichkeit.Kenntnisse in der Datenmodellierung und Datenqualitätsmanagement sind von Vorteil.Du bringst sehr gute Deutschkenntnisse in Wort und Schrift mit."
Senior Network Engineer (w/m/d),Cronon GmbH,Berlin,Feste Anstellung,"Homeoffice möglich, Vollzeit","Unser Team sorgt dafür, dass die Netzwerke, intern bei Cronon oder bei unseren Kunden, stabil und sicher laufen. Wir bauen Infrastruktur auf, betreiben Firewalls, Router und Switches und unterstützen mit smarten technischen Lösungen.Unsere Schwerpunkte reichen von Netzwerkarchitektur über Betrieb und Security bis zur technischen Beratung - mit Fokus auf hochverfügbaren Data Center- und Cloud-Umgebungen. Wir arbeiten eng mit anderen technischen Teams zusammen und bringen unser Know-how in vielfältige Projekte ein.AufgabenbereichDu planst und realisierst Netzwerkprojekte für unsere Data Center und Cloud-Umgebungen.Du betreibst und entwickelst unsere Netzwerkinfrastruktur weiter: Routing, Switching, Firewalls.Du entwickelst Managed Firewall Services für unsere Kunden.Du berätst unsere Kunden zu Themen wie Network Design und Network Security.Du unterstützt beim Troubleshooting - intern und im Kundenumfeld, Du automatisierst wiederkehrende Tasks mit Tools wie Ansible oder Terraform.Du nimmst an der vergüteten Rufbereitschaft teil (fair geregelt, im Team rotiert).QualifikationenErfahrung mit modernen Netzwerkarchitekturen wie Leaf-Spine, VXLAN oder DCI.Sehr gute Kenntnisse in Routing-Protokollen wie BGP und OSPF sowie mit IPSec VPN.Du kennst dich mit Firewalls und Network Security-Konzepten aus.Du hast Erfahrung mit Network Automation (z. B. Ansible, AWX, GitLab CI).Bonus: Erfahrung mit Cisco Nexus, Arista DCS, Juniper MX oder Cisco Firewalls.Du arbeitest eigenverantwortlich, teilst dein Wissen gern und hast Spaß am Teamwork.Sprachen:Gute Deutsch- und Englischkenntnisse - schriftlich und mündlichBenefitsHybrides Arbeitsmodell.Nachhaltiger Arbeitsort in Friedrichshain.Unbefristeter Arbeitsvertrag.30 Tage Urlaub.Rabatt auf Gyms (Fitness First, SuperFit, FitX).Mitarbeiterrabatt auf STRATO Produkte und 1&1 Produkte.Fahrrad Leasing mit Eurorad.Angebote zur Gesundheitsförderung wie z.B.Gruppenunfallversicherung, Grippeimpfungen, Augen Kontrolluntersuchung und Zuzahlung für eine Arbeitsplatzbrille.",
(Junior) Digital Data Analyst (m/w/d) (Remote),PsyCommerce Inh. Maximilian Lohse,Bielefeld,Feste Anstellung,"Homeoffice möglich, Vollzeit","Hey, ich bin Max, Inhaber von PsyCommerce. Wir sind die einzige CRO (Conversion Rate Optimization) spezialisierte Shopify-Plus-Agentur im DACH-Raum. Unser Ziel ist es, den Umsatz unserer Kunden (Tom Tailor, LFDY, SMILODOX, Judith Williams, ZOE LU und viele weitere) durch datengetriebene Optimierungen zu maximieren.Unsere Schwerpunkte liegen in A/B-Testing, Analytics und Machine Learning, um nachhaltig den Umsatz und die User Experience zu verbessern. Mit unserer einzigartigen A/B-Testdatenbank und innovativen Analysemodellen setzen wir Maßstäbe im Bereich Conversion-Optimierung.Zur Erweiterung unseres Remote Analytics Teams suchen wir ab sofort Dich als (Junior) Digital Data Analyst (m/w/d).","QualifikationWas wünschen wir uns von dir?:Ausbildung & Erfahrung:Dein Studium in Mathematik, Wirtschaftswissenschaften, Informatik, Statistik oder in verwandten Bereichen hast Du erfolgreich abgeschlossen.Erste praktische Erfahrungen mit Shopify, Google Analytics 4, Google Tag Manager oder Google Looker Studio sind vorhandenAnalytische Fähigkeiten:Du hast ein hohes analytisches Denkvermögen und kannst große Datenmengen effizient verarbeiten.Grundlegendes Verständnis von Webtechnologien wie HTML, CSS und JavaScript sind wünschenswert.Erfahrungen mit SQL, R, Python oder anderen Programmiersprachen sind ein Plus.Arbeitsweise:Deine Arbeitsweise ist sehr genau, zuverlässig und eigenverantwortlich.Du schätzt Gestaltungsspielraum und übernimmst gerne Verantwortung für Deine Aufgaben.Soft Skills:Du sprichst und schreibst verhandlungssicher in deutscher Sprache.Ebenso kannst Du gut in englischer Sprache kommunizieren."
BI Platform (Junior-) Engineer (SAP BW/4HANA) (m/w/d),Schwarz IT,Heilbronn,Feste Anstellung,Vollzeit,"Die Schwarz IT betreut die gesamte digitale Infrastruktur und alle Softwarelösungen der Unternehmen der Schwarz Gruppe. Sie ist somit für Auswahl, Bereitstellung und Betrieb sowie Weiterentwicklung von IT-Infrastrukturen, IT-Plattformen und Business-Anwendungen zuständig. Um die Fachbereiche durch IT-Lösungen optimal bei deren Geschäftsprozessen zu unterstützen, nimmt die Schwarz IT die Anforderungen der Fachbereiche in Beratungsgesprächen auf und erarbeitet gemeinsam mit diesen professionelle und leistungsfähige IT-Lösungen.",Erfolgreich abgeschlossenes Studium der (Wirtschafts-)Informatik oder eine vergleichbare Qualifikation.Erste Erfahrungen im Bereich Business Intelligence oder künstliche Intelligenz.Grundkenntnisse im technischen Betrieb eines Data Warehouse SAP BW/4HANA oder SAP BW on HANA.Basiswissen in einer Programmiersprache wie SQL und ABAP.Technische Affinität.Kommunikationsstärke und Freude an der Teamarbeit.Gute Deutsch- und Englischkenntnisse.
