title,company,location,job_type,employment_type,description,requirements
SAP ABAP Developer Inhouse (m/w/d),Schreiner Group GmbH & Co. KG,Oberschleißheim bei München,Feste Anstellung,"Homeoffice möglich, Vollzeit","Unsere Werte: Innovation, Qualität, Leistungskraft und Freude.Die Schreiner Group GmbH & Co. KG ist ein international tätiges deutsches Familienunternehmen und gilt als bevorzugter Partner in den Märkten Healthcare und Mobility. Unser Kerngeschäft sind Funktionslabels in Top-Qualität, die um ergänzende Systemlösungen und Dienstleistungen angereichert werden. Die innovativen Hightech-Labels und Funktionsteile der Schreiner Group ermöglichen smarte Lösungen und helfen, das Leben ein Stück gesünder, mobiler und sicherer zu machen. Zu unseren bekanntesten Produkten zählen u.a. die Feinstaubplakette, Typen- und Warnhinweisschilder im Auto sowie Dokumentationsetiketten bei Impfungen. Mit mehr als 1.200 Mitarbeitern und einem Jahresumsatz von ca. 200 Millionen Euro führen wir unser internationales Geschäft profitabel und robust in eine vielversprechende Zukunft. Zahlreiche Auszeichnungen wie„Innovator des Jahres"",„Bayerns Best 50""oder„Erfolgreich.Familienfreundlich""bestätigen unseren Erfolg.","Erfolgreich abgeschlossene Ausbildung oder Studium der Informatik, Wirtschaftsinformatik oder eine vergleichbare QualifikationMehrjährige Programmiererfahrung in ABAP/4 und ABAP OOKenntnisse der Erweiterungsmöglichkeiten in SAP (BAdI, Enhancement, Customer Functions, BDT usw.)Gute Programmierkenntnisse im Bereich SAP-Schnittstellen: Batch-Input, Webservice, BAPI und RFC sowie mit Datenbank-DesignFundierte Kenntnisse mit RAP (Rapid Application Programming) und Core Data ServicesErfahrung in der Formularentwicklung (SAP-Script, Smart Forms, Adobe Forms) wünschenswertErfahrungen mit Java, Fiori, SAPUI5 und WebDynpro sind von VorteilFließende Deutschkenntnisse"
Project Director / Senior Projektleiter (w/m/d) EPCM Industry - High Tech-Industrieprojekte,Drees & Sommer SE,"Stuttgart,Frankfurt am Main, München, Hamburg, Leipzig, Köln, Berlin",Feste Anstellung,"Homeoffice möglich, Vollzeit","Wir stehen jeden Morgen dafür auf, eine lebenswerte Zukunft für nachfolgende Generationen zu schaffen. Je nach Projekt sind wir Berater, Umsetzer – oder beides – nachhaltiger, innovativer und wirtschaftlicher Lösungen für Immobilien, Industrie, Energie und Infrastruktur. In interdisziplinären Teams unterstützen unsere 6.500 Mitarbeitenden an über 70 Standorten weltweit unsere Kunden. Wir denken visionär und realistisch. Wir arbeiten eigenständig und im Team. Mit Leidenschaft und modernsten Technologien. We unite. Join us at Dreso and let’s create a world we want to live in.","Abgeschlossenes Studium im Bereich Architektur, Bauingenieurwesen, Versorgungstechnik, Elektrotechnik oder eine vergleichbare QualifikationMehrjährige Erfahrung in der gesamtverantwortlichen Leitung komplexer Industrieprojekte, idealerweise im EPCM/EPC-UmfeldVerständnis für alle Leistungsphasen und Projektphasen – Sie denken ganzheitlich und handeln unternehmerischStrukturierte, eigenverantwortliche und teamorientierte Arbeitsweise – über alle Gewerke hinwegStarke Kommunikationsfähigkeiten, Verhandlungsgeschick und ein gutes Gespür für Menschen und SituationenReisebereitschaft innerhalb Deutschlands (und perspektivisch auch EU-weit und international)"
(Senior) Qualitätsmanager (w/m/d) EPCM Industry – Baustellen im Bereich Kraftwerks- und Prozesstechnik,Drees & Sommer SE,"Stuttgart, Frankfurt am Main, München, Hamburg, Leipzig, Köln, Berlin",Feste Anstellung,"Homeoffice möglich, Vollzeit","Wir stehen jeden Morgen dafür auf, eine lebenswerte Zukunft für nachfolgende Generationen zu schaffen. Je nach Projekt sind wir Berater, Umsetzer – oder beides – nachhaltiger, innovativer und wirtschaftlicher Lösungen für Immobilien, Industrie, Energie und Infrastruktur. In interdisziplinären Teams unterstützen unsere 6.500 Mitarbeitenden an über 70 Standorten weltweit unsere Kunden. Wir denken visionär und realistisch. Wir arbeiten eigenständig und im Team. Mit Leidenschaft und modernsten Technologien. We unite. Join us at Dreso and let’s create a world we want to live in.","Abgeschlossenes Studium im Bereich Bauingenieurwesen, Maschinen-/Anlagenbau, Verfahrenstechnik, Chemieingenieurwesen oder vergleichbarer Studienabschlussmehrjährige Erfahrung im Bereich Qualitätsmanagement und Qualitätssicherung in der Abwicklung von Großprojekten im Bereich AnlagenbauUmfangreiche Kenntnisse der gängigen Prüfverfahren in den Bereichen Bautechnik, Stahlbau, Rohrleitungs- und MaschinentechnikSicherer Umgang mit Planungs- und Ausführungsunterlagen, wie Bauplänen, Montagezeichnungen, Isometrien und R&I-SchemasRoutine in der Kommunikation mit Kundenvertretern,  Sachverständigen und Aufsichtsbehörden, eine zielorientierte Arbeitsweise und ein ausgeprägtes „Qualitäts-Denken“Sehr gute Deutsch- und Englischkenntnisse in Wort und SchriftBereitschaft zu Baustelleneinsätzen im gesamten Bundesgebiet und im europäischen Ausland"
Master Data Manager (m/w/d),SKAN Deutschland GmbH,"02827 Görlitz-Hagenwerder, Deutschland",Feste Anstellung,Vollzeit,Die mit Sitz in Görlitz/Hagenwerder ist ein Unternehmen der SKAN Gruppe. SKAN Innovationen und Know-how im Isolatorenbau und in der Reinraumtechnik machen seit über 50 Jahren die Arbeit im chemisch-pharmazeutischen Umfeld effektiver und sicherer. Unsere kundenspezifischen Lösungen sowie eine leistungsfähige Serviceorganisation haben uns zu einem Marktführer und wichtigen Partner der Industrie- und Forschungslaboratorien werden lassen.SKAN Deutschland GmbH,"eine abgeschlossene technische Ausbildung oder einen Abschluss als staatlich geprüfter TechnikerErste Erfahrung im Datenmanagement und Kenntnisse in Datenqualität und -governanceSAP-Kenntnisse und sichere Anwendung von MS-Office, insbesondere ExcelZiel- und lösungsorientierte Arbeitsweise sowie hohes QualitätsbewusstseinSehr gute Deutsch- und Englischkenntnisse in Wort und Schrift"
Volljurist (m/w/d) Arbeitsrecht,Ratiodata SE,Weida,Feste Anstellung,Vollzeit,"Du suchst neue Herausforderungen und Karrieremöglichkeiten? Du willst deine Zukunft aktiv mitgestalten? Dann komm zu uns! Wir sind eins der größten Systemhäuser und Technologiepartner in Deutschland mit über 1.500 Kolleg:innen an 10 Standorten. Bewirb dich jetzt und zeig uns, aus welchen Bits und Bytes du gemacht bist.","Volljurist (w/m/d) mit Schwerpunkt ArbeitsrechtErste Berufserfahrung, idealerweise inklusive erfolgreich abgelegter AnwaltsprüfungAusgeprägtes Verhandlungsgeschick und Freude an der Lösung von KonfliktenKomplexe Sachverhalte schnell erfassen, verständlich darzustellen und zu bewertenHohe Eigeninitiative und SelbstständigkeitGrundlegendes wirtschaftliches Verständnis, gute Selbstorganisation und sicherer Umgang mit Office-AnwendungenBundesweite Reisebereitschaft"
IT Security Engineer (m/w/d),Diehl Defence GmbH & Co. KG,Nonnweiler,Feste Anstellung,Vollzeit,"Digitale Trans­formation. Nach­haltig­keit. Friedens­sicherung. Spannende Aufgaben, an denen auch wir bei Diehl in unseren fünf Teil­konzernen Metall, Controls, Defence, Aviation und Metering und unsere über 16.000 Mit­arbeiter­innen und Mit­arbeiter mit Hochdruck arbeiten. Entdecken Sie faszinierende Techno­logien und bewerben Sie sich. In einem von Vertrauen und Mut geprägten Familien­unter­nehmen, das beständig und stabil ist – aus Tradition.Für unseren Standort Diehl Defence GmbH & Co. KG in Nonnweiler suchen wir einen:IT Security Engineer (m/w/d)","Ein abge­schlos­senes Stu­dium mit infor­ma­tions­tech­nischem Schwer­punkt oder eine ver­gleich­bare Aus­bil­dung bildet die ideale Vor­aus­setzung für diese Stelle.Sie über­zeu­gen uns durch mehr­jährige Berufs­er­fah­rung und fun­dierte Fach­kennt­nisse sowohl in der Kon­zep­tion bzw. Admin­is­tra­tion von IT-Sicher­heits­sys­temen als auch im tech­ni­schen und admin­is­tra­tiven IT-Sicher­heits­mana­gement bei der Anwen­dung der IT-Sicher­heits­stan­dards 200-1 bis 200-4 des Bun­des­amts für Sicher­heit in der Infor­ma­tions­tech­no­logie (BSI) sowie der weiter­füh­ren­den tech­nischen Richt­linien.Sie verfügen neben Kennt­nissen bezüg­lich der ISO/IEC-27000-Reihe und der aktu­ellen Cyber-Security-For­der­ungen besten­falls auch über Erfahrung bzw. Know-how hin­sicht­lich ITIL-basierter Struk­turen sowie Zerti­fi­zie­rungen im IT-Security-Bereich wie z. B. CISSP, TISSP, CISA oder CISM.Des Weiteren zeich­nen Sie sich durch Ver­ant­wor­tungs­bewusst­sein in einem von IT-Sicher­heit gepräg­ten Arbeits­um­feld aus und verfü­gen zudem über eine analy­tische sowie qualitäts- und ziel­orien­tierte Arbeits­weise.Team­geist sowie gute Englisch­kennt­nisse in Wort und Schrift runden Ihr Profil ab."
Power Platform Administrator (m/w/d),CMS Hasche Sigle Partnerschaft von Rechtsanwälten und Steuerberatern mbB,Berlin,Feste Anstellung,"Homeoffice möglich, Vollzeit","Für unseren Standort inBerlinsuchen wir ab sofort einenPower Platform Administrator (m/w/d)inVollzeit.CMS in Deutschland ist eine der führenden wirtschaftsberatenden Anwaltssozietäten. Wir beraten Großunternehmen ebenso wie mittelständische Unternehmen in allen Fragen des nationalen und internationalen Wirtschaftsrechts. Insgesamt sind über 1.500 Mitarbeitende, darunter mehr als 750 Rechtsanwält:innen, Steuerberater:innen, Notar:innen sowie und über 50 Wirtschaftsjurist:innen in acht wichtigen Wirtschaftszentren in Deutschland sowie in Brüssel, Hongkong, Peking, Shanghai und im Silicon Valley tätig. Weltweit ist CMS mit mehr als 6.800 Rechts- und Steuerberater:innen in mehr als 80 Büros vertreten.","Studium in Informatik, Wirtschaftsinformatik oder vergleichbare QualifikationMehrjährige Erfahrung mit Microsoft 365, idealerweise inkl. Power Platform KomponentenFundiertes Wissen in Microsoft Entra ID (Azure AD), RBAC, Conditional AccessKenntnisse in Governance Frameworks (z. B. DLP, PIM, Purview, Sensitivity Labels)Erfahrung mit dem Betrieb des CoE Starter Kits von Microsoft wünschenswertStrukturierte, eigenverantwortliche Arbeitsweise und hohe KommunikationsfähigkeitSicherer Umgang mit MS-OfficeSehr gute deutsche und englische SprachkenntnisseVerantwortungsbewusstsein und eine strukturierte ArbeitsweiseEine aufgeschlossene Art und Kommunikationsstärke"
BUSINESS INTELLIGENCE / DATA ANALYST (M/W/D),Consultix GmbH,Bremen,Feste Anstellung,Vollzeit,"Konzeption und Entwicklung von Softwareprogrammen und -tools zur Datenerhebung und Datenanalyse.Entwicklung neuer Business Intelligence Methoden auf Basis angewandter statistischer Verfahren mit Hilfe einschlägiger Werkzeuge.Durchführung der Datenerhebung und statistischen Abfragen.Modellierung von wirtschaftlichen Fragestellungen.Verwendung von SPSS, MS Excel, Access und SQL.Ergebnisaufbereitung und Präsentation.Beantwortung komplexer wirtschaftlicher Fragestellungen.Erarbeitung von Prototypen und Applikationen zur Datenauswertung.","Abgeschlossenes Studium der Wirtschaftsinformatik oder vergleichbarer Studiengang.Sicherer Umgang mit relationalen Datenbanken und SQL sowie mit Datenerhebungs- und Statistiktools wie SPSS.Erfahrungen in der Umsetzung von Softwareprojekten und mit OLAP-Werkzeugen (z.B. Business Objects, Cognos).Praktische Erfahrungen in der Programmierung in VB, VBA und XML.Erfahrungen im Reporting innerhalb von Datawarehouse-Projekten.Idealerweise Kenntnisse der Taguchi-Methode, von Multivariablen Tests, von ROOT und der Correlationsanalyse.Sehr gute Datenbankkenntnisse (z.B. Oracle, DB2, MS SQL Server).Analytisches Denkvermögen und mathematisches Verständnis.Kommunikationsstärke in Deutsch und Englisch."
Werkstudent (m/w/d) Künstliche Intelligenz / KI und Data Analytics,DataSpark GmbH & Co. KG,"Frankfurt am Main, Deutschland","Studentenjobs, Werkstudent","Homeoffice möglich, Teilzeit","Bei DataSpark zu arbeiten heißt, aktiv Zukunft zu gestalten: die wettbewerbsfähige Zukunft unserer Kunden und die eigene Zukunft als Mitarbeiter*in im Bereich der Schlüsseltechnologien des 21. Jahrhunderts.DataSpark konzipiert und entwickelt KI-basierte Lösungen für Prozessautomatisierung und prädiktive Datenanalysen. Namhafte Kunden aus unterschiedlichen Branchen setzen bereits auf die einzigartige Kombination aus fachlicher Expertise, analytischer Methodenkompetenz und neustem Technologie-Knowhow von DataSpark.Wir suchen Dich als motiviertenWerkstudenten (m/w/d) für unseren Consulting-Bereich. Als Teil unseres dynamischen Teams hast Du die Möglichkeit Dich kontinuierlich weiterzuentwickeln und Dein theoretisches Wissen unmittelbar in spannenden KI-Projekten anzuwenden. Du wirst von unseren Expert*innen im Consulting-Bereich unterstützt und arbeitest in einer wertschätzenden Arbeitsatmosphäre. Wir bieten Dir die Flexibilität, entweder von unserem Büro in zentraler Lage in Frankfurt oder im Home Office zu arbeiten. Sei ein Teil unserer Erfolgsgeschichte und bringe Deine Leidenschaft für Innovation ein. Wir freuen uns darauf, von Dir zu hören!","Immatrikulierter Student (m/w/d) in der Informatik, in einem MINT-Studiengang mit technischem Schwerpunkt oder einem vergleichbaren StudiengangBegeisterung für innovative Technologien, großes Interesse an künstlicher Intelligenz und Freude an neuen Herausforderungen.Analytische Fähigkeiten und strukturiertes DenkenSolide Programmierkenntnisse und erste Erfahrungen mit ContainertechnologieAufgeschlossenheit, Teamfähigkeit und Freude an der KommunikationErfahrung im Umgang mit den gängigen Microsoft Office-ProduktenVerhandlungssichere Deutsch- und gute Englischkenntnisse in Wort und Schrift"
BACHELOR OF Science (B.Sc.) RSW-STEUERN UND PRÜFUNGSWESEN (m/w/d),Hollenbach GmbH & Co. KG,Rot am See,"Ausbildung, Studium",Vollzeit,"Als Student in unserer Kanzlei erledigst du mit den Kollegendie laufende Finanzbuchhaltung der Unternehmen inklusive notwendiger Meldungendie Erstellung von Jahresabschlüssen nach Handelsrecht und Steuerrechtdie Erstellung privater & betrieblicher Steuererklärungendie Steuerbescheidprüfung und die Betreuung von Rechtsbehelfsverfahrenvorbereitende Tätigkeiten der Unternehmensbewertung und der Wirtschaftsberatung für unsere Steuerberateranspruchsvolle Mandate aus dem Privatbereich sowie aus dem UnternehmensbereichDu kannst deine Arbeitszeit flexibel einteilen und so auch mal wichtige Termine unter der Woche wahrnehmen, sollte es notwendig sein.","Allgemeine Hochschulreife (oder einen vergleichbaren Abschluss) mit sehr guten Noten in Mathematik und in Deutsch mitDu begeisterst dich für Mathematik und Statistik und beschäftigst Dich gerne mit Zahlen, Gesetzen und wirtschaftlichen ZusammenhängenDu hast ein Talent komplexe Sachverhalte in einfacher Sprache verständlich zu machenDu hast großes Interesse an allgemeinen Wirtschaftsthemen sowie Fragestellungen des SteuerrechtsDu bringst Gründlichkeit, Verschwiegenheit, und ein gutes Organisationstalent als persönliche Eigenschaften mitDu bist ein TeamplayerDu bist kommunikativ und hast Freude an der persönlichen Zusammenarbeit mit MandantenDu konntest gegebenenfalls bereits erste Erfahrungen im Bereich Steuern und/oder Rechnungswesen sammeln"
