title,company,location,job_type,employment_type,description,requirements
Anticipatory Action Expert,Deutsche Welthungerhilfe e.V.,Bonn,Befristeter Vertrag,Vollzeit,"Are you looking for a meaningful job where you can invest your skills, passion, and time in an impactful way? Do you want to work for an organization that is dynamic, goal-driven, and dedicated to making a difference? Welcome to Welthungerhilfe!As one of Germany's largest and most respected private organizations in development cooperation and humanitarian aid, we are committed to driving positive change. We operate independendently from religious and political influences, ensuring that our actions are always guided by strong ethical principles. Through embracing innovation we strive to become a data-mature, human-driven organization that continuously improves the way we work.Our vision: ""Zero Hunger on a Healthy Planet."" Join us in creating a world where everyone has access to food while ensuring a sustainable future for our planet. If you are ready to make an impact, we look forward to receiving your application!","A university degree in a relevant field like disaster risk reduction, disaster risk management, or similarAt least one to three years of professional experience in humanitarian actionExperience in development of anticipatory action plans, conducting vulnerability assessments, and applying participatory methodsExperience in the further development and localization of forecasting and anticipation methods for weather-related and non-weather-related hazardsYou recognize the growing value of data in your field and are eager to build your awareness and skills to incorporate data-informed approaches into your work.Willingness to work in countries where Welthungerhilfe or program partners are implementing or supporting anticipatory action projectsWillingness and flexibility to travel to project countriesVery good English and French language skills"
SENIOR SOLUTION ARCHITECT IN DER KONZERNKONSOLIDIERUNG MIT SAP (M/W/D),concellens GmbH,Potsdam,Feste Anstellung,"Homeoffice möglich, Vollzeit","Unterstützung von fachlicher Konzeption und Umsetzung technischer Implementierungen von SAP-Konsolidierungslösungen (SAP Group Reporting, S/4HANA, BW/4HANA, BW, SAC, GRDC und Datasphere) unter Beachtung der kundenspezifischen AnforderungenBeratung der Kunden bei der Strategieentwicklung und bei der weiteren Planung sowie Umsetzung von SAP-KonsolidierungslösungenTeamführung /Projektleitung (optional)Fachlicher und technischer KundensupportAktiver Beitrag zum Wissensaufbau in unserer „con-academy“","Solide Kenntnisse im Bereich der Wirtschaftsinformatik und ProgrammierungMind. 4 Jahre Erfahrung im internen/externen Rechnungswesen oder als Berater/in in einer der SAP-KonsolidierungslösungenSAP Customizing Erfahrung im Umfeld Accounting und KonsolidierungTechnische Affinität und Begeisterung für die KonsolidierungsthemenTeamkompetenz und die Motivation, sich in einem agilen Projektumfeld weiterzuentwickelnStarke Kundenorientierung und das „Berater-Gen“ReisebereitschaftSichere MS Office KenntnisseSehr gute Deutsch- und Englischkenntnisse in Sprache und Schrift"
Electrical engineer,Menger Engineering GmbH,"Leipzig, Germany",Feste Anstellung,Vollzeit,"We are a medium-sized company based in Leipzig, Germany, which operates worldwide as a reliable partner in the field of information and documentation management. For our customers (EnBW, UNIPER, BASF, SIEMENS, etc.) we provide tailor-made software solutions in combination with the necessary services for structuring and preparing information and data.","a qualification (engineer, master craftsman, technician, etc.) in the field of electrical engineeringexperience in handling plant identification (desirable)willingness to travelability to work in a teamindependent workself-confident appearance"
Intern AI & Management Consulting (Value Engineering),Celonis SE,München,"Studentenjobs, Werkstudent","Homeoffice möglich, Teilzeit","We're Celonis, the global leader in Process Mining technology and one of the world's fastest-growing SaaS firms. We believe there is a massive opportunity to unlock productivity by placing data and intelligence at the core of business processes - and for that, we need you to join us.Celonis makes processes work for people, companies and the planet. The Celonis Process Intelligence Platform uses industry-leading process mining and AI technology and augments it with business context to give customers a living digital twin of their business operation. It's system-agnostic and without bias, and provides everyone with a common language for understanding and improving businesses. Celonis enables its customers to continuously realize significant value across the top, bottom, and green line. Celonis is headquartered in Munich, Germany, and New York City, USA, with more than 20 offices worldwide.Get familiar with the Celonis Process Intelligence Platform by watching this video.","Student of Business Administration / Industrial Engineering / Business Informatics / Technology & Management / Economics / or of a comparable programStrong communicational skills and interest in interacting with potential customersConfidence to present to C-level executives and larger audiencesHave a passion for technology, data, OpenAI and LLMs and the impact it can have on the worldExperience in consulting and highly interested in Data AnalyticsKnowledge in SQL or related database query languages (completion of Celonis ""Rising Star"" modules would be a plus)Analytical mindset and the ability to multi-task, prioritize and execute*Effective communicator andbusiness fluent in German and English"
Internship Influencer Marketing France (m/f/x),Hanfgeflüster GmbH,Berlin,Praktikum,Teilzeit,"Are you looking for an exciting challenge in a fast-growing company that is revolutionizing the world of CBD products? Then Hemproutine is the right place for you!At Hemproutine, we’re dedicated to enhancing daily life through our premium CBD products trusted by thousands of customers. As a dynamic and innovative team, we are constantly pushing boundaries and exploring new ways to improve wellbeing.If you’re passionate about making a real impact and want to be part of a brand that values creativity, authenticity, and quality, then Hemproutine is the perfect place for you to thrive and grow!","You are currently studying or have completed a degree in marketing, communication, media sciences, or a related fieldInitial experience in influencer marketing or social media management is a bonus, but enthusiasm is key!Outstanding communication skills in French, with good proficiency in EnglishPassionate about social media and influencer marketing, with a creative mindset and innovative thinkingExcellent organizational skills and the ability to juggle multiple projects with easeA collaborative team player with a strong desire to learn, grow, and take on new"
Lead Software Architect,Utimaco GmbH,Düsseldorf,Feste Anstellung,Vollzeit,"Security is becoming increasingly important to industries. Utimaco products have been protecting people from organized crime and terror as well as sensitive data from theft and abuse for over 35 years. To this end, Utimaco has developed hardware security modules and compliance solutions for telecommunications providers in the field of regulation. Utimaco is the global market leader in both segments. Utimaco stands for recognized product quality, userbility, excellent support and a market-driven offer, manufactured in Germany.The central goal of protecting people, data and ideas is the commitment of more than 200 people to Utimaco.","You bring at least 5 years of practical, full-stack development experience, particularly using Java (Spring Framework) complemented by modern frontend technologies like Angular (ideally version 17+).Your expertise includes designing and implementing secure microservice architectures and hybrid cloud environments, with hands-on experience in containerization solutions such as Docker and Kubernetes.You possess solid skills in creating and developing RESTful APIs aligned with best practices, leveraging open-source frameworks like OpenAPI and Spring Boot.Your familiarity with Linux systems and DevOps methodologies is robust, supported by your proficiency in tools such as Git/GitLab, Maven, Jenkins, Jira, and Confluence.Your professional background includes practical implementation of security solutions involving Identity Management systems like Keycloak, OAuth2/OIDC authentication flows, and secret management systems such as Hashicorp Vault or OpenBao.You have extensive experience working with database technologies (both SQL and NoSQL) and possess hands-on experience deploying and managing applications in Azure cloud environments."
Chief of Staff (m/w/d),Green Fusion GmbH,Berlin,Feste Anstellung,"Homeoffice möglich, Vollzeit","Digitization and the energy transition in one sentence? That’s Green Fusion!With our software for the intelligent control of heating systems in the real estate sector, we actively combat climate change. By digitizing and automating heating operations, we reduce emissions, lower energy consumption, and help drive the energy transition forward.","Must-havesYou've worked instartups or VC-driven environments— you're comfortable with speed, ambiguity, limited resources, and constant change.You have anentrepreneurial mindset— you're not afraid to take on tasks outside your formal role if it drives progress.You bring strongexecution powerandproject management skills— you manage complex projects independently and know how to use the right tools.You take fullownershipand actproactively— you anticipate challenges and solve them before they escalate.You'reflexibleand curious, and you enjoy diving into a wide range of topics.Youcommunicate clearly and positively— whether written or spoken, internally or externally.You know how toinspire and mobilize othersaround you.Nice to havesYou have a background inconsulting, especially instrategy.You're able to support the team withpitch decksor duringdue diligence processes.You understandcap tables,VC dynamics, and keystartup metrics.You bring experience inPeople/HRororganizational development.You're comfortable reading and challengingbudgets,forecasts, andunit economics."
Senior SAP Analytics Cloud Consultant (all genders),BIG.Cube GmbH,"München, Deutschland",Feste Anstellung,"Homeoffice möglich, Vollzeit","Das führende Beratungshaus für Analytics und SAP BTP aus dem Herzen MünchensAnalyticsund SAP Business Technology Platform (BTP)uf unterstützen wir Kunden in ihrem Ziel, datengetriebene Unternehmen zu werden.Unsere technische Expertise inData & Analytics, Integration, Application Development & Automation, AIundCloud Platform Servicesergänzt sich nahtlos mit unserer Fachkompetenz, insbesondere imSustainability Reporting (ESG)Datenqualitätsmanagement (DQM).Mit unserer Erfahrung aus vielen erfolgreichen Analytics- und Data Warehousing-Projekten bereiten wir unsere Kunden proaktiv auf die Herausforderungender SAP Cloud-Transformationvor.Unsere Mitarbeitenden sind unser wertvollstes Kapital, weshalb wir inmoderne Arbeitsmethodenund Know-how-Aufbau investieren und eininspirierendes Unternehmensklimafördern.BeiBIG.Cubevereinen wirtechnische Innovationfachliche Kompetenz, unvertrauensvolles Zusammenarbeitend .","Abgeschlossenes Studium in (Wirtschafts)-Informatik, (Wirtschafts)-Ingenieurwesen, (Wirtschafts)-Mathematik, Betriebswirtschaftslehre oder eine vergleichbare AusbildungDu bringst fundierte Berufserfahrung in der Anwendung und Technologie SAP Analytics Cloud (SAC) mitDu hast bereits erste BI-Erfahrungen mit SAP BW als Datenquelle gesammeltHohes Maß an Eigenverantwortung, strukturierte Arbeitsweise, Einsatzbereitschaft und TeamfähigkeitVerhandlungssichere Deutschkenntnisse"
Full-time: (Senior) Game Designer (f/m/d) at Iteration One GmbH,Iteration One GmbH,"Karlsruhe, Germany",Feste Anstellung,"Homeoffice möglich, Vollzeit","Job descriptionAbout UsWe are an independent studio and publisher of free-to-play mobile games. Our successful idle games are built in an iterative process by our team of experts.Founded in 2022, we’re a small yet powerful team of experts, dedicated to mastering the art of crafting successful idle games through innovation, iteration, and excellence in every step of the process.Our current flagship game, Nightclub Tycoon, is a lighthearted idle tycoon game available on iOS and Android, set in a friendly and witty nightlife setting.At Iteration One, iteration is more than just a word—it’s the heart of our approach. Passionate about the process of creating exceptional games? Maybe we should talk!","At least three years of experience working on a commercial free-to-play mobile game.A passion for free-to-play mobile games and casual games that are accessible to everyone.Extensive experience in game design, game systems, and balancing game economies for mobile f2p games.Clear understanding of free-to-play games and their economic systems.Strong sensitivity to gameplay and game design, skilled at building player needs and emotions within the game context.Logical thinker with strong attention to detail; comfortable working with numbers and analyzing data, with spreadsheets as a go-to tool.Ability to communicate game concepts clearly and concisely.In addition to these, it would be nice but not mandatory for you to have these as well:Experience working with the Unity EngineProgramming or scripting skills are a plusExperience with idle or other casual gamesWorking language: English (German is a plus)"
Duales Studium Wirtschaftsinformatik & Ausbildung zum Fachinformatiker Anwendungsentwicklung (m/w/d),scholz.msconsulting GmbH,"Krefeld, Deutschland","Ausbildung, Studium",Vollzeit,"Die scholz.msconsulting GmbH ist ein stark wachsendes, erfolgreiches Software- und Beratungsunternehmen, das sich auf die Entwicklung von ERP – Lösungen für Dienstleister und IT-Unternehmen spezialisiert hat. Mit unserer Softwarelösung „Vemas.NET“ sind wir in Europa bei mittelständischen Unternehmen sehr erfolgreich. An unserem Standort Krefeld bieten wir zum 01.08.2022 die Ausbildung zum Fachinformatiker Anwendungsentwicklung (m/w/d) mit berufsbegleitendem Studium der Wirtschaftsinformatik an der Hochschule für Oekonomie und Management (FOM) an. Das Studienzentrum der FOM kann nach Möglichkeit frei gewählt werden (z.B. Düsseldorf, Neuss oder Duisburg).","DEINE PERSÖNLICHEN SKILLSAusgeprägtes technisches VerständnisSpaß an TeamarbeitSelbstständigkeit, Eigenverantwortung und ZuverlässigkeitKommunikations- und KontaktfreudigkeitEngagement und FlexibilitätGuter sprachlicher AusdruckEine hohe Lernbereitschaft setzen wir vorausDEINE FACHLICHEN SKILLSErfolgreich abgeschlossenes Fach-/AbiturSicherer Umgang mit dem PC und gute Microsoft-Office-KenntnisseSehr gute Deutschkenntnisse"
